system:index,time,j1,j10,j100,j101,j102,j103,j104,j105,j106,j107,j108,j109,j11,j110,j111,j112,j113,j114,j115,j116,j117,j118,j119,j12,j120,j121,j122,j123,j124,j125,j126,j127,j128,j129,j13,j130,j131,j132,j133,j134,j135,j136,j137,j138,j139,j14,j140,j141,j142,j143,j144,j145,j146,j147,j148,j149,j15,j150,j151,j152,j153,j154,j155,j156,j157,j158,j159,j16,j160,j161,j162,j163,j164,j165,j166,j167,j168,j169,j17,j170,j171,j172,j173,j174,j175,j176,j177,j178,j179,j18,j180,j181,j182,j183,j184,j185,j186,j187,j188,j189,j19,j190,j191,j192,j193,j194,j195,j196,j197,j198,j199,j2,j20,j200,j201,j202,j203,j204,j205,j206,j207,j208,j209,j21,j210,j211,j212,j213,j214,j215,j216,j217,j218,j219,j22,j220,j221,j222,j223,j224,j225,j226,j227,j228,j229,j23,j230,j231,j232,j233,j234,j235,j236,j237,j238,j239,j24,j240,j241,j242,j243,j244,j245,j246,j247,j248,j249,j25,j250,j251,j26,j27,j28,j29,j3,j30,j31,j32,j33,j34,j35,j36,j37,j38,j39,j4,j40,j41,j42,j43,j44,j45,j46,j47,j48,j49,j5,j50,j51,j52,j53,j54,j55,j56,j57,j58,j59,j6,j60,j61,j62,j63,j64,j65,j66,j67,j68,j69,j7,j70,j71,j72,j73,j74,j75,j76,j77,j78,j79,j8,j80,j81,j82,j83,j84,j85,j86,j87,j88,j89,j9,j90,j91,j92,j93,j94,j95,j96,j97,j98,j99,.geo
F142000,946684800000,22306134,170115,54864,22794,4515,772478,425245,1664,308,17,0,0,0,0,0,27971,635,48330,6881925,283754,0,6,61,22455,0,1691449,1503093,138828,5638,0,68838,10010928,2254251,140212,13125,1119206,0,1457909,52046,542,2084841,587537,2023647,38771,1670,5526,3776,146480,317300,18568,14395,5953248,13711,11156767,512274,131237,786,50875,176,1010748,1391,4910,169722,183675,3421,6524878,664336,26234,175058,392917,1773241,6167,4127512,199502,10719,1847,2890,1058,223563,64981,5238793,2344,622,5385,840986,1670,355,13229,213,618315,117401,393993,9244,1508256,8010,133,621731,3756906,111270,5533093,18329,5915099,112923,12306,15,2592,273374,225767,254164,16647,715,23883,429341,4296024,59,14692,111877,4290,31517,14231,25256,27786,713177,4874,9569,69240,408245,80470,0,347910,510,42152,283692,868419,1942,5398,2408289,975,955,762,904,2564929,2048,1341,1245293,106688,109706,302302,2591,1141,58896,410896,2158532,33,57423,2618984,31476,57421816,710,815300,1112,1369137,1008,9821,452101,1639,207,5283,2472,199490,1162123,150186,159684,3330954,11400718,371181,58,52715,1201399,1432,106,19,36,949259,57,4501,18390,47935,196,55114,34881,19714,127533,84377,450,398357,1808416,3176,157598,70801,8939,3201,4600,717923,1584,209508,16313,28666,53456,191668,5411,98202,806808,206,800777,18086,184372,2217,119678,12231,236,122874,35848,37534,1210952,2187,3100,1281747,8091,73072,18788,34937,0,663701,4286,42001,10383,156105,1963,669151,63,438,224513,23826,504246,20651,16978,1335322,3529,854265,11590,
F152000,946684800000,28060648,205057,88275,31075,4805,1026428,490840,2043,482,28,0,0,0,0,0,28407,731,53391,8017279,340052,0,7,89,31920,0,2038756,1792275,168773,10671,0,88240,12864665,2733334,175556,17236,1399130,0,1483305,72213,668,3452416,700785,2480389,50205,2258,6224,5228,256380,416617,22162,17793,7111065,18400,13363010,631424,169999,810,64451,249,1181713,1470,6267,210827,256745,3800,7219827,795013,33809,225671,503980,2153296,7346,5086885,274276,14270,2375,13882,1579,246004,87062,6126002,2790,690,6548,1086598,2224,5485,15905,1085,665448,132042,499970,11405,1956692,8787,194,846224,4965806,165931,6566198,22600,6665105,146138,15061,91,3145,330121,281112,284587,21672,733,1810,557136,5260946,51,15972,144351,5677,40788,16533,30410,39177,873361,5903,12354,75997,505451,90555,0,419971,607,48775,317926,1130316,1980,6826,2998116,869,1356,977,780,3871566,2534,1676,1500268,112483,161073,413284,3377,1645,69529,486577,2890345,55,73373,3033494,39674,64638772,1004,1097860,1382,1613457,1095,10236,539399,2048,326,7132,2876,272694,1320029,174389,196574,3824051,14432419,468194,85,65517,2563104,1908,197,32,44,1150532,99,5819,21641,61257,276,56302,45771,25143,153929,112186,422,511644,2119907,3394,200024,87352,12651,3885,6364,947246,1721,261861,23152,41937,71471,249395,6020,124205,1108943,227,890594,20392,211239,3508,158901,16849,246,165486,63223,43336,1595478,2774,3888,1432711,8796,94379,22371,41967,0,764300,5192,52403,11661,191983,1911,720053,63,623,280284,25394,540196,23444,21644,1438624,4383,924048,12280,
F142001,978307200000,19943075,168528,54507,16498,4712,789500,437825,1505,307,28,0,0,0,0,0,28204,701,49553,7240184,296057,0,5,68,25822,0,1732781,1552536,145006,5133,3,68750,10210540,2410364,144240,14351,1088079,0,1371403,54584,658,2113130,610188,2039380,36372,1594,6636,4193,155703,306576,18331,17302,5302190,13806,10155350,532090,141852,808,56364,178,993052,1173,4981,174530,175003,3500,6500585,586147,26514,171439,398651,1894543,7591,4336400,214066,13526,2837,3971,1126,219779,77845,5278729,2617,493,4509,837066,1943,663,13973,505,637977,118251,435191,12145,1612695,8029,204,678478,3837407,0,5736909,19881,6179867,143640,13342,52,2661,253311,222522,209323,16954,765,56199,487852,4302426,64,15185,92237,4593,36595,14055,26732,29656,763961,5270,12077,70633,454181,85859,0,360485,558,36018,282575,1018480,1540,6239,2416368,592,1133,868,987,2050443,2197,1635,1262089,110253,119738,332782,2813,1172,62503,466628,1730586,31,57289,2490661,34869,52117165,902,915060,1148,1440392,1065,9931,516698,2341,244,5519,2151,204062,1119892,134113,159376,3975902,12387489,380097,53,59761,1343225,1353,128,24,38,993653,77,4399,18508,49824,194,49569,32021,22650,114151,112741,454,422203,2052278,3339,160238,83524,9506,3203,5123,719504,1536,217928,18301,36798,59024,202515,6489,98556,905256,168,906817,18441,183902,2900,111506,12520,227,120194,36213,39662,1193191,2086,3299,1491227,8031,72169,23382,37593,0,642959,3829,43053,10792,152707,2061,693378,63,553,246587,23929,513992,21809,17820,1332709,2983,939758,12978,
F152001,978307200000,27969887,192967,85713,26713,5024,998832,489743,1789,396,29,0,0,0,0,0,28264,709,52585,8153472,316165,0,6,73,35278,0,2007681,1719566,177493,3476,4,82490,12997898,2698420,170558,16289,1366294,0,1463178,67635,731,3878372,716216,2387313,43477,2049,7432,5242,258223,420000,22836,21570,6235822,17791,12864508,647176,174691,803,66621,210,1133363,1283,6772,221869,278953,3760,7188313,668043,33591,229418,490828,2211562,8813,4888794,290966,14326,2935,7746,1347,251449,95429,5838202,2789,501,5716,1059510,2400,856,15915,141,691058,155008,504970,12196,2038663,9075,228,824516,4769115,87657,6612804,22735,6600816,157424,16311,81,3096,304487,254733,276579,19830,701,4463,567357,5144730,59,15856,123134,5913,43022,16509,29595,38492,896605,5433,13687,87636,555445,100145,0,448065,766,44561,308374,1135836,1779,6919,3022496,725,1866,967,774,3882084,2504,1896,1532852,124737,143191,429915,4079,1516,72267,561466,2277001,59,68862,3278977,42934,58753499,949,1132163,1489,1622563,1132,10069,606910,2960,308,6385,2096,262078,1355126,155522,179982,4593188,14453241,453498,80,71433,2504235,1892,196,28,50,1182902,106,5700,20376,61361,273,48783,39819,27580,143431,138225,423,496080,2175110,3499,215877,94181,12123,3779,6756,931772,1890,268427,22494,44023,79352,246303,6590,117434,1109005,328,1019351,20349,234081,3594,138368,16390,220,162452,65046,47980,1465602,2745,3946,1642672,9040,91483,26755,44133,0,748473,4551,53802,12626,181704,2005,820930,63,631,268315,24923,576132,27052,20504,1473722,3754,979310,12748,
F142002,1009843200000,14383204,163831,62500,27545,4319,729837,433070,1848,298,27,0,0,0,0,0,28266,710,49355,7011234,302617,0,4,70,26108,0,1818266,1620117,148792,8876,0,71092,10424081,2388095,142735,15411,1416817,0,1352771,53729,683,0,655087,2016105,49845,1739,7021,4524,198538,342632,17153,17273,5700690,14885,10334215,545601,147721,804,56135,198,1007186,1034,4714,175491,162210,3531,7095358,415963,29368,179208,416713,1925922,7470,4328724,6691,13817,2542,0,1273,205013,74042,4708726,2314,854,3988,926370,2013,0,14636,0,698348,116033,403424,6926,1643287,6773,287,592614,3973570,0,6112553,20655,5976316,153499,13068,10,2776,275201,202671,310424,15888,740,55065,515169,4147992,49,15713,90196,4986,36467,13974,27688,30700,844955,6190,10996,66013,476360,87727,0,400085,836,37443,294904,1048967,1967,6249,2506200,597,1964,963,1039,839709,2186,1728,1370724,105449,143299,376248,3724,1180,64900,448533,2040904,60,58886,2465818,34701,52166665,1031,1094162,1116,1384754,1010,9642,575514,3888,218,4913,2348,227288,1317856,137839,144607,4867469,13111413,375218,46,52158,4772,1291,121,32,31,946074,79,5458,17465,52880,238,49166,32809,26679,132223,120785,430,438805,1912388,3151,160898,107269,9824,3608,5558,718589,1412,236217,18249,28555,65461,193417,5126,99114,914100,223,741499,16538,184699,3081,120170,13939,251,122266,50217,41086,1101282,2216,3738,1636294,7641,78091,24220,38100,0,660767,3981,49325,10856,163001,1884,572202,63,583,227444,25388,569024,22220,19214,1403965,3302,892700,12962,
F152002,1009843200000,27909827,192715,94031,44997,4661,1050285,508480,2384,475,31,0,0,0,0,0,28520,725,53381,8207421,341979,0,6,69,39048,0,2113493,1864034,198045,6914,4,87347,13041143,2781510,179129,16327,1632515,0,1432570,69529,686,4181728,758784,2490799,51167,2158,8500,5649,339816,419426,23360,25656,6682145,19779,12425421,689275,185209,795,69269,225,1195659,1086,6549,226809,293253,3704,7340140,624179,32306,236479,523183,2422392,9883,5306286,296155,14408,3198,9532,1634,232983,90095,5675092,2328,841,5092,1162680,2449,4289,16272,212,649924,167969,507031,10110,2149042,8914,303,796183,5228414,81198,6751892,25092,6509211,195528,15060,104,3224,321730,235872,318762,19408,713,1527,628062,5315376,60,15580,105935,6116,45998,17011,32086,43482,971388,6494,13855,79849,635371,102253,0,486208,878,48160,314234,1263469,1741,7882,3243294,832,2582,927,1118,4097079,2458,2039,1591897,115179,193668,512433,5297,1676,73980,541510,2606730,85,77270,2745539,47886,60120996,1117,1359431,1410,1612392,1096,9835,690106,4395,284,6635,1928,288803,1429191,169123,188167,4602500,16527044,486236,76,70039,2396530,1814,188,25,31,1153268,109,7198,21205,67056,315,60996,43233,33178,158862,129103,455,542195,2173652,3422,203750,102371,13702,3968,7061,1004603,1539,293563,24235,38099,77943,259381,6274,121378,1220957,349,892733,18025,222452,4105,161091,17429,227,168923,79978,56814,1565164,3192,4604,1558132,8557,102418,27020,45615,0,743690,4428,62106,12782,186160,2027,645607,63,592,275696,26332,601382,28045,23130,1440445,4001,925866,13752,
F142003,1041379200000,20986075,149387,66449,40643,4685,788753,450161,3754,275,17,0,0,0,0,0,28181,727,50498,7501165,278708,0,3,46,18317,0,1803201,1525118,162889,3527,0,55073,9704178,2497423,151498,14521,1362057,0,1411115,52040,658,3009742,706644,1987635,52352,1651,8326,4428,206390,282642,17971,19293,5732639,12791,9426181,545939,122353,810,47732,176,898736,484,5053,152948,139039,3510,6679451,622231,30882,178219,420723,2055678,8471,4358301,180789,14821,1769,6688,832,230825,72928,5406026,2833,925,3666,918584,2062,565,11698,310,505199,127674,485971,9300,1539634,8265,265,708108,4537727,120527,6076682,20781,5880488,131956,15593,0,2832,330916,259496,227959,15958,782,2839,555094,4203957,41,15238,79160,4783,39050,13625,27368,25305,817519,5659,12414,63516,544275,63729,0,406104,352,30993,281207,1065752,1778,5162,2778076,396,1677,820,837,3009368,2118,1728,1391898,107215,132729,393884,3008,1232,69466,422566,1833464,46,49584,2327168,36055,50191226,1009,879707,1121,1293464,1132,10153,648418,3678,202,3408,1233,249105,1110177,154807,148391,3546395,14292237,370533,50,45427,1858553,1417,125,24,9,951115,79,4174,16960,49785,274,46413,39272,25796,105211,113501,461,431114,1930865,3290,141214,88739,10291,4151,5413,831570,982,231682,23526,25132,54916,220530,6221,87810,945601,140,975087,14046,173016,2838,101461,9336,227,122294,49334,46523,1187226,1763,4308,1258101,7977,68273,24099,33765,0,752499,3198,51503,11508,155781,2038,407751,63,537,239642,24979,421814,21885,20769,1397875,1357,869210,10699,
F152003,1041379200000,19079059,133023,69120,36827,4030,731714,421271,2723,226,18,0,0,0,0,0,27220,711,48345,6172701,237266,0,3,39,27296,0,1545210,1366172,137902,2785,0,58442,8560501,1941139,140501,12849,1224846,0,1071355,53815,492,2521149,654573,1854845,41751,1550,6928,4072,223383,274263,18018,16749,5102198,14654,9098835,525062,132700,769,52347,157,824264,477,4844,147403,191784,3086,5402297,538914,21640,173200,391389,1913623,7370,3971134,190289,11930,1287,6091,978,203816,74610,4656260,1911,585,3843,844689,1767,920,10945,366,448081,115827,429122,7186,1507463,7029,266,625664,4039132,132064,5368805,18695,4963277,122239,12513,40,2377,305483,187061,225142,13329,644,281,491231,3928911,35,14343,71674,4425,34712,13194,23662,31285,742721,4451,9980,52198,500437,70377,0,373461,441,31894,243122,963681,1788,4946,2565441,595,1924,625,806,2827410,1723,1362,1155498,81709,106638,366941,2741,1188,60078,376886,1732833,47,51755,1961185,32463,47434197,884,848489,871,1174594,795,8695,540166,3851,169,4576,1120,222832,940999,144965,130437,3352447,12659319,364832,44,44888,1474934,1250,110,18,40,901666,62,4654,14746,45856,233,44088,35698,23764,100394,63715,351,413169,1794328,2705,145822,76445,9955,3670,4800,787684,894,232468,17027,29958,54032,203157,4711,84903,832025,220,851988,12695,157972,2382,98221,9711,215,129305,51686,39429,1152613,1719,3998,1092320,7161,75965,26292,30036,0,660953,2741,45375,9854,141403,1684,416157,63,414,218290,24484,355695,20716,17900,1095366,2495,741428,10026,
F152004,1072915200000,20850920,135657,67533,55302,3967,784217,429331,2999,202,20,0,0,0,0,0,27182,716,48041,6140826,245094,0,0,8,25886,0,1612279,1381936,158163,3202,0,67347,8755030,2065704,145888,12507,1233054,0,1099402,60721,515,2684432,654769,1934796,43078,1671,7555,3920,217567,276107,18310,16621,5229780,12905,9093406,540542,121053,775,54090,169,838486,814,5348,154611,208212,2555,5243259,564601,24857,150483,398099,2024167,7774,4165416,236254,10940,1185,7364,907,174293,71131,4673443,1942,482,3029,861752,1576,2839,11354,474,420284,115840,367215,6553,1509713,7078,246,642711,4270204,115377,5406851,19133,5114084,104878,12364,42,2319,304392,198971,248174,13187,696,402,427748,3815002,37,14810,63515,4222,36676,14005,23781,28663,792756,5447,10998,56627,498735,80427,0,340194,386,34799,242674,1064797,1674,5231,2658796,625,2116,684,1078,2710860,1701,1553,1174538,90767,112581,386466,2322,1103,60459,414481,2028013,42,54001,1899025,35466,46468724,977,836930,776,1211033,852,9100,562000,3425,164,3932,1450,215235,951629,148211,135395,3506663,13997939,371384,42,44231,1597965,1032,100,16,18,874192,50,5915,15914,47038,106,44932,31556,26540,94760,80436,414,445852,1809950,2659,166025,65147,9407,2723,4754,812786,1555,222827,16594,31730,54021,221126,4691,84720,999367,138,635379,13664,163240,2475,99035,11408,211,114862,59678,46201,1183940,1793,4250,1054006,7030,73756,34119,33064,0,550691,2841,47845,9568,141274,1752,513820,63,390,180410,24744,401160,21334,19502,1069467,2716,687396,11038,
F162004,1072915200000,22705856,159170,83100,66193,4493,885310,453699,4825,389,26,0,0,0,0,0,27683,767,52050,7040207,317016,0,3,12,26664,0,1962048,1669830,200081,3425,6,88216,11897764,2832967,159052,15199,1490352,0,1243568,77652,596,2421396,716575,2192437,57428,2131,10934,5005,234076,394614,21425,21592,6520107,16720,10618934,620773,167479,798,66513,226,1137672,1948,7410,207206,318138,3104,6067056,629209,32557,189115,546680,2301363,9511,4655072,187238,16043,1696,6440,1386,196480,84532,5268490,2299,538,4162,1012533,2006,3894,14878,1420,463959,163482,418352,9938,1891326,7858,270,787244,5157403,129442,6033263,25744,6035006,144630,19495,48,2940,337250,294486,238825,19372,619,1381,512134,4811180,39,15894,88135,5435,45566,16840,30608,32663,956931,7809,13625,85660,590261,103963,0,485580,860,42398,287486,1188424,1820,7212,2945012,791,3290,805,1384,2645045,2260,2023,1522730,139186,162993,438032,2825,1548,74641,554729,2366904,70,66379,2233103,47462,52934629,1057,1011972,1290,1623944,963,9664,725547,4225,296,4518,2889,298434,1140994,161320,154038,3635570,18118173,441825,56,72615,1453104,1468,154,31,47,1075516,95,7613,20668,57836,180,52789,34226,29405,113203,112122,396,576681,2040015,3009,128129,71073,12292,3232,6153,963881,2643,235699,21941,33216,63922,241681,4928,110062,1113808,215,701752,15929,239173,3686,121282,15830,240,129914,66397,59942,1435811,2588,4996,1096400,7743,78921,43062,42800,0,619501,4400,58252,11829,176144,1816,471138,63,561,221456,25373,468110,24411,21443,1124407,3124,791648,11811,
