wbgeometry_uid,year,sat,ee_source,ee_reductionscale,ee_nightlights_sum,Perimeter,Name,Area,Rules,Component,AreaDirec,Regions,VertexCou,wbgeometry_name,iso3c
1,2000,F14,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,22306134,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2000,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,28060648,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2001,F14,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,19943075,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2001,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,27969887,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2002,F14,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,14383204,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2002,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,27909827,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2003,F14,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,20986075,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2003,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,19079059,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2004,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,20850920,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2004,F16,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,22705856,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2005,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,21612426,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2005,F16,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,20858727,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2006,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,21342537,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2006,F16,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,20089974,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2007,F15,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,22111261,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
1,2007,F16,NOAA/DMSP-OLS/_NIGHTTIME_LIGHTS,1000,26087086,128195799.8,Russian Federation,2.07e+13,"Do not use ""Russia""",209,0,ECA,35765,Russian Federation,RUS
