,country,year,SP.POP.TOTL,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,NY.GNP.PCAP.PP.CD,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,adminregion,capitalCity,iso3c,incomeLevel,iso2c,latitude,lendingType,longitude,region,sat,ee_nightlights_sum
0,Afghanistan,2012,29726803.0,690.842629015,720.0,2030.0,651.001851953,1899.2995585,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F18,166147
1,Afghanistan,2011,28809167.0,622.379654358,570.0,1720.0,587.005047846,1712.58871978,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F18,138135
2,Afghanistan,2010,27962207.0,569.940728793,520.0,1640.0,569.940728793,1662.80352556,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F18,153906
3,Afghanistan,2009,27207291.0,458.955781586,470.0,1530.0,540.198285108,1576.02987047,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,85059
4,Afghanistan,2008,26528741.0,384.131681277,370.0,1290.0,457.785872996,1335.59144857,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F15,61093
5,Afghanistan,2008,26528741.0,384.131681277,370.0,1290.0,457.785872996,1335.59144857,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,77954
6,Afghanistan,2007,25877544.0,380.400955187,340.0,1250.0,452.94822392,1321.47759509,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F15,62463
7,Afghanistan,2007,25877544.0,380.400955187,340.0,1250.0,452.94822392,1321.47759509,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,98268
8,Afghanistan,2006,25183615.0,280.245644107,280.0,1100.0,409.203687602,1193.85279914,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F15,64420
9,Afghanistan,2006,25183615.0,280.245644107,280.0,1100.0,409.203687602,1193.85279914,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,86315
10,Afghanistan,2005,24399948.0,257.175794656,250.0,1040.0,400.122936495,1167.35968469,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F15,72412
11,Afghanistan,2005,24399948.0,257.175794656,250.0,1040.0,400.122936495,1167.35968469,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,75533
12,Afghanistan,2004,23499850.0,224.914712193,220.0,940.0,373.687924621,1090.23547033,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F15,55302
13,Afghanistan,2004,23499850.0,224.914712193,220.0,940.0,373.687924621,1090.23547033,South Asia,Kabul,AFG,Low income,AF,34.5228,IDA,69.1761,South Asia,F16,66193
14,Albania,2012,2900247.0,4247.83985202,4360.0,10280.0,4277.14331004,9792.31586074,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F18,128070
15,Albania,2011,2904780.0,4437.81199903,4390.0,9610.0,4210.67707973,9640.14459268,Europe & Central Asia (excluding high income),Tirane,ALB,Upper middle income,AL,41.3317,IBRD,19.8172,Europe & Central Asia,F18,124140
